FID	IID	Group	Method_for_dating	Date_mean_BP	Date_SE_BP	Full_date	Continent	Locality	Political _entity	Language	Lat	Long	Data_type	SNPs_1240k	SNPs_HO	Molecular_sex	Ref	DOI
I4421.AG	I4421.AG	Malawi_2500-16000BP	Context: Based on date(s) from same site (I4422)	5150	115	3400-3000 BCE	Africa	"Chencherere (Dedza District, Chongoni Forest Reserve)"	Malawi	NA	-14.375786	33.823623	1240k	215270	112294	F	LipsonSawchukNature2022 (higher coverage individual first published in SkoglundCell2017)	doi:10.1038/s41586-022-04430-9
I4426.AG	I4426.AG	Malawi_2500-16000BP	Direct: SHCal20; R_combine	2408	65	"658-390 calBCE (2413±15) [R_combine: (2425±20 BP, PSUAMS-1734), (2400±20 BP, PSUAMS-1881)]"	Africa	"Fingira Rockshelter (Rumphi District, Nyika National Park)"	Malawi	NA	-10.786153	33.765371	1240k	1016901	532441	F	LipsonSawchukNature2022 (higher coverage individual first published in SkoglundCell2017)	doi:10.1038/s41586-022-04430-9
I10726.AG	I10726.AG	Zambia_5100BP	Direct: SHCal20	5095	112	"3333-2932 calBCE (4480±20 BP, PSUAMS-4764)"	Africa	Kalemba Rockshelter (Eastern Province)	Zambia	NA	-14.120709	32.499195	1240k	103624	53833	F	LipsonSawchukNature2022	doi:10.1038/s41586-022-04430-9
I8821.AG	I8821.AG	Tanzania_7000BP	Direct: SHCal20	7070	62	"5217-5000 calBCE (6210±30 BP, PSUAMS-4718)"	Africa	"Kisese II Rockshelter (Kondoa District, north-central Tanzania)"	Tanzania	NA	-4.491742	35.812031	1240k	936485	491163	M	LipsonSawchukNature2022	doi:10.1038/s41586-022-04430-9
I3726.AG	I3726.AG	Tanzania_3000BP	Direct: SHCal20	3023	57	"1204-937 calBCE (2925±20 BP, ISGS-A3806)"	Africa	"Luxmanda (Babati District, UVS40)"	Tanzania	NA	-4.255571	35.3184874	1240k	847763	443196	F	SkoglundCell2017	doi:10.1016/j.cell.2017.08.049
I5950.DG	I5950.DG	Ethiopia_4500BP	Direct: IntCal20	4470	37	"2576-2465 calBCE (3997±29 BP, OxA-29631)"	Africa	"Mota Cave (Southwest Ethiopia, Gamo Highlands)"	Ethiopia	NA	6.797495	38.207852	Shotgun.diploid	1145677	578650	M	LipsonSawchukNature2022 (higher shotgun coverage of individual first published in LlorenteScience2015)	doi:10.1038/s41586-022-04430-9
TAF010.AG	TAF010.AG	Morocco_14000BP	Direct: IntCal20	14649	241	"13137-12252 calBCE (12470±100 BP, OxA-16663)"	Africa	"Taforalt Cave (Oriental, Cercle d'Aklim, Tafoughalt, Lotissement Riyad Al Istiyaf)"	Morocco	NA	34.807812	-2.410889	1240k	708642	406354	M	vandeLoosdrechtScience2018	doi:10.1126/science.aar8380
TAF014.AG	TAF014.AG	Morocco_14000BP	"Context: Dates from same site: TAF009, TAF010, TAF012"	14500	375	13200-11900 BCE	Africa	"Taforalt Cave (Oriental, Cercle d'Aklim, Tafoughalt, Lotissement Riyad Al Istiyaf)"	Morocco	NA	34.807812	-2.410889	1240k	872214	485226	M	vandeLoosdrechtScience2018	doi:10.1126/science.aar8380
TAF013.AG	TAF013.AG	Morocco_14000BP	"Context: Dates from same site: TAF009, TAF010, TAF012"	14500	375	13200-11900 BCE	Africa	"Taforalt Cave (Oriental, Cercle d'Aklim, Tafoughalt, Lotissement Riyad Al Istiyaf)"	Morocco	NA	34.807812	-2.410889	1240k	879314	489184	M	vandeLoosdrechtScience2018	doi:10.1126/science.aar8380
TAF012.AG	TAF012.AG	Morocco_14000BP	Direct: IntCal20	14455	207	"12888-12175 calBCE (12355±50 BP, OxA-23780)"	Africa	"Taforalt Cave (Oriental, Cercle d'Aklim, Tafoughalt, Lotissement Riyad Al Istiyaf)"	Morocco	NA	34.807812	-2.410889	1240k	297180	179570	F	vandeLoosdrechtScience2018	doi:10.1126/science.aar8380
TAF011.AG	TAF011.AG	Morocco_14000BP	"Context: Date(s) of sibling, TAF012"	14450	231	12900-12100 BCE	Africa	"Taforalt Cave (Oriental, Cercle d'Aklim, Tafoughalt, Lotissement Riyad Al Istiyaf)"	Morocco	NA	34.807812	-2.410889	1240k	936390	510040	M	vandeLoosdrechtScience2018	doi:10.1126/science.aar8380
TAF009.AG	TAF009.AG	Morocco_14000BP	Direct: IntCal20	14221	164	"12849-12097 calBCE (12255±50 BP, OxA-23779)"	Africa	"Taforalt Cave (Oriental, Cercle d'Aklim, Tafoughalt, Lotissement Riyad Al Istiyaf)"	Morocco	NA	34.807812	-2.410889	1240k	264753	162048	M	vandeLoosdrechtScience2018	doi:10.1126/science.aar8380
oub002.SG	oub002.SG	Morocco_7000BP	Direct: IntCal20	7569	37	5680-5550calBCE (6706±31; Ua56649)	Africa	Ifri Ouberrid (Azrou)	Morocco	NA	35.2151874	-3.2543052	Shotgun	1149908	579630	F	SimõesNature2023	doi:10.1038/s41586-023-06166-6
ktg005.SG	ktg005.SG	Morocco_7000BP	Direct: IntCal20	7368	35	5490-5350calBCE (6461±34; Ua-58118)	Africa	"Kaf Taht el-Ghar (Mediterranean coast, Jebal Gharghez, between Mechrouha and Yarrhite)"	Morocco	NA	34.4790627	-4.2768249	Shotgun	871991	440475	F	SimõesNature2023	doi:10.1038/s41586-023-06166-6
ktg006.SG	ktg006.SG	Morocco_7000BP	Direct: IntCal20	7094	64	5298-5046calBCE (6206±33; Ua-56455)	Africa	"Kaf Taht el-Ghar (Mediterranean coast, Jebal Gharghez, between Mechrouha and Yarrhite)"	Morocco	NA	34.4790627	-4.2768249	Shotgun	724194	370015	M	SimõesNature2023	doi:10.1038/s41586-023-06166-6
skh002.SG	skh002.SG	Morocco_6500BP	Direct: IntCal20	6620	53	4780-4550calBCE (5818±33; Ua-58120)	Africa	"Skhirat-Rouazi (Atlantic shore, 30 km southwest Rabat)"	Morocco	NA	33.8822638	-6.8769596	Shotgun	641817	315831	M	SimõesNature2023	doi:10.1038/s41586-023-06166-6
skh001.SG	skh001.SG	Morocco_6500BP	Direct: IntCal20	6355	35	4470-4340calBCE (5574±35; Ua-56836)	Africa	"Skhirat-Rouazi (Atlantic shore, 30 km southwest Rabat)"	Morocco	NA	33.8822638	-6.8769596	Shotgun	1144309	576755	F	SimõesNature2023	doi:10.1038/s41586-023-06166-6
AltaiNeanderthal_snpAD.DG	AltaiNeanderthal_snpAD.DG	Altai_Neanderthal	Context: Date argued from as in Douka et al. Nature 2019	110450	11287	128050-88950 BCE	Asia	"Denisova-Cave (Altai Krai, Soloneshensky District)"	Russia	NA	51.3975	84.6761111	Shotgun.diploid	1061534	548872	F	PrueferNature2013 (this is the reprocessed data from Pruefer2017)	doi:10.1038/nature12886
Chagyrskaya8_snpAD.DG	Chagyrskaya8_snpAD.DG	Chagyrskaya_Neanderthal	ISRL	53400	1905	54750-48150 BCE	Asia	"Chagyrskaya-Cave (Altai Krai, Krasnoshchyokovsky District)"	Russia	NA	51.442497	83.154522	Shotgun.diploid	1061448	548865	F	MafessoniPNAS2020	doi:10.1073/pnas.2004944117
Vindija_snpAD.DG	Vindija_snpAD.DG	Vindija_Neanderthal	"Direct: In the Supplement of the Vindija Neanderthal paper (Prufer et al. Science) it is written ""Since the radiocarbon date reaches the limit of the calibration curve, the calibrated age is greater than 45.5 kBP with 95% confidence"""	50000	5000	">43500 calBCE (45300±2300 BP, OxA-32278)"	Europe	"Vindija Cave (Varaždin County, Opina Donja Voa)"	Croatia	NA	46.299167	16.070556	Shotgun.diploid	1061414	548856	F	Pruefer2017 (higher coverage data from an individual originally published in GreenScience2010)	..
Denisova3_snpAD.DG	Denisova3_snpAD.DG	Denisova	Context: Date argued from as in Douka et al. Nature 2019	63900	7101	74250-49650 BCE	Asia	"Denisova-Cave (Altai Krai, Soloneshensky District)"	Russia	NA	51.3975	84.6761111	Shotgun.diploid	1061350	548877	F	"MeyerScience2012 (version reporocessed in Pruefer2017, higher coverage data from an individual originally published in ReichNature2010)"	doi:10.1126/science.1224344
Chimp.REF	Chimp.REF	Chimp	Modern	0	0	present	NA	..	NA	NA	NA	NA	Reference.Genome	1102442	567010	M	Genome	..
